,id,timestamp,src,dst,proto,sport,dport,length
117,4233,1759840445.345876,,,0,60816,443,86
118,4231,1759840445.345755,,,0,443,60816,432
119,4232,1759840445.345755,,,0,443,60816,432
120,4229,1759840444.827743,,,0,443,60816,74
121,4230,1759840444.827743,,,0,443,60406,74
122,4228,1759840444.786099,10.63.145.185,20.249.115.185,6,64509,443,54
123,4226,1759840444.745082,,,0,60406,443,1190
124,4227,1759840444.745081,,,0,60816,443,739
125,4225,1759840444.742629,,,0,443,60406,454
126,4224,1759840444.734564,20.249.115.185,10.63.145.185,6,443,64509,101
127,4223,1759840444.687147,,,0,443,59966,76
128,4222,1759840444.597699,,,0,443,60406,74
129,4221,1759840444.59431,10.63.145.185,20.249.115.185,6,64509,443,112
130,4220,1759840444.438615,,,0,60406,443,828
131,4219,1759840444.423256,,,0,59966,443,74
132,4218,1759840444.423089,,,0,443,49761,76
133,4217,1759840444.422868,,,0,59966,443,74
134,4214,1759840444.42267,,,0,443,59966,113
135,4215,1759840444.42267,,,0,443,59966,98
136,4216,1759840444.42267,,,0,443,59966,74
137,4213,1759840443.731792,,,0,49761,443,109
138,4210,1759840443.729423,,,0,443,53895,86
139,4211,1759840443.729423,,,0,443,49761,76
140,4212,1759840443.729423,,,0,443,49761,177
141,4209,1759840443.522094,,,0,53895,443,75
142,4208,1759840443.317492,,,0,49761,443,2222
143,4207,1759840443.317229,,,0,49761,443,187
144,4206,1759840443.026132,10.63.145.185,10.63.145.255,17,137,137,92
145,4205,1759840442.272595,10.63.145.185,10.63.145.255,17,137,137,92
146,4204,1759840441.695496,,,0,49236,443,94
147,4203,1759840441.664206,,,0,443,49236,86
148,4202,1759840441.516038,10.63.145.185,10.63.145.255,17,137,137,92
149,4201,1759840441.186132,,,0,443,58438,86
150,4200,1759840441.164285,,,0,49236,443,94
151,4199,1759840441.133395,,,0,443,49236,93
152,4198,1759840441.108022,,,0,58438,443,75
153,4197,1759840439.083391,,,0,443,61972,86
154,4196,1759840439.044662,,,0,61972,443,75
155,4195,1759840438.948961,,,0,49761,443,74
156,4194,1759840438.893859,,,0,0,0,42
157,4191,1759840438.893743,,,0,443,49761,76
158,4192,1759840438.893743,,,0,443,49761,176
159,4193,1759840438.893743,,,0,0,0,42
160,4190,1759840438.475969,,,0,49761,443,2222
161,4189,1759840438.475618,,,0,49761,443,187
162,4188,1759840438.092626,,,0,49419,443,74
163,4187,1759840438.036635,,,0,443,49419,245
164,4186,1759840437.96569,,,0,49419,443,174
165,4185,1759840437.358385,,,0,443,60215,86
166,4184,1759840437.170249,,,0,443,49761,76
167,4183,1759840437.154855,,,0,60215,443,97
168,4180,1759840437.154016,,,0,443,60215,86
169,4181,1759840437.154016,,,0,443,60215,566
170,4182,1759840437.154016,,,0,443,60215,83
171,4179,1759840436.951324,,,0,60215,443,91
172,4178,1759840436.93332,,,0,443,50947,86
173,4177,1759840436.895293,,,0,50947,443,75
174,4176,1759840436.868406,,,0,49761,443,109
175,4175,1759840436.866062,,,0,443,49761,176
176,4174,1759840436.784441,,,0,60215,443,94
177,4173,1759840436.743338,,,0,443,60215,90
178,4172,1759840436.685114,,,0,60215,443,94
179,4171,1759840436.663372,,,0,443,60215,86
180,4170,1759840436.640641,,,0,60215,443,647
181,4169,1759840436.639624,,,0,443,60215,1292
182,4168,1759840436.600823,,,0,53143,443,95
183,4166,1759840436.600241,,,0,443,53143,1288
184,4167,1759840436.600241,,,0,443,53143,85
185,4165,1759840436.590089,,,0,49761,443,74
186,4164,1759840436.574448,,,0,53143,443,94
187,4163,1759840436.555501,,,0,60215,443,1292
188,4162,1759840436.53958,,,0,53143,443,98
189,4161,1759840436.53905,,,0,53143,443,95
190,4152,1759840436.538184,,,0,443,53143,85
191,4153,1759840436.538184,,,0,443,49761,76
192,4154,1759840436.538184,,,0,443,49761,113
193,4155,1759840436.538184,,,0,443,49761,76
194,4156,1759840436.538184,,,0,443,49761,76
195,4157,1759840436.538184,,,0,443,53143,218
196,4158,1759840436.538184,,,0,443,53143,1288
197,4159,1759840436.538184,,,0,443,53143,203
198,4160,1759840436.538184,,,0,443,53143,87
199,4151,1759840436.454443,,,0,53143,443,91
200,4150,1759840436.283662,,,0,53143,443,91
201,4149,1759840436.110759,,,0,53143,443,94
202,4148,1759840436.100004,,,0,49761,443,2222
203,4147,1759840436.099807,,,0,49761,443,113
204,4146,1759840436.099518,,,0,49761,443,187
205,4145,1759840436.081307,,,0,443,53143,182
206,4144,1759840436.035994,,,0,53143,443,93
207,4141,1759840436.035618,,,0,443,53143,115
208,4142,1759840436.035618,,,0,443,53143,85
209,4143,1759840436.035618,,,0,443,53143,84
210,4140,1759840436.034666,,,0,53143,443,93
211,4139,1759840436.034458,,,0,53143,443,140
212,4136,1759840436.033437,,,0,443,53143,1292
213,4137,1759840436.033437,,,0,443,53143,370
214,4138,1759840436.033437,,,0,443,53143,984
215,4134,1759840436.029418,,,0,443,53143,102
216,4135,1759840436.029418,,,0,443,53143,1292
217,4133,1759840435.950314,,,0,53143,443,148
218,4132,1759840435.950251,,,0,53143,443,909
219,4131,1759840435.950147,,,0,53143,443,1292
220,4130,1759840435.950055,,,0,53143,443,1288
221,4129,1759840435.949353,,,0,53143,443,144
222,4128,1759840435.94892,,,0,53143,443,1292
223,4127,1759840435.948759,,,0,53143,443,1292
224,4126,1759840435.460669,,,0,60406,443,74
225,4125,1759840435.411575,,,0,443,60406,101
226,4124,1759840434.899267,,,0,443,49171,88
227,4123,1759840434.76004,,,0,49171,443,91
228,4122,1759840434.424197,,,0,60817,443,74
229,4121,1759840434.42409,,,0,60816,443,74
230,4120,1759840434.378315,,,0,443,60817,1081
231,4119,1759840434.372577,,,0,443,60816,981
232,4118,1759840434.325526,,,0,443,60816,74
233,4117,1759840434.325418,,,0,443,60817,74
234,4116,1759840434.096339,,,0,443,60817,74
235,4115,1759840434.096295,,,0,443,60816,74
236,4114,1759840434.058391,,,0,60817,443,653
237,4113,1759840434.058172,,,0,60816,443,415
238,4112,1759840434.016873,,,0,60817,443,154
239,4111,1759840434.009145,,,0,60816,443,154
240,4110,1759840434.006188,,,0,443,60816,293
241,4109,1759840434.006026,,,0,60817,443,74
242,4106,1759840434.005832,,,0,443,60817,74
243,4107,1759840434.005832,,,0,443,60817,3734
244,4108,1759840434.005832,,,0,443,60817,916
245,4105,1759840433.995282,,,0,443,60816,74
246,4104,1759840433.916836,,,0,60817,443,366
247,4103,1759840433.91595,,,0,60816,443,674
248,4102,1759840433.911811,,,0,60817,443,74
249,4101,1759840433.911712,,,0,443,60817,86
250,4100,1759840433.911554,,,0,60816,443,74
251,4099,1759840433.911374,,,0,443,60816,86
252,4098,1759840433.868498,,,0,443,64574,74
253,4097,1759840433.858749,,,0,443,64574,74
254,4096,1759840433.834917,,,0,60817,443,86
255,4095,1759840433.834882,,,0,60816,443,86
256,4093,1759840433.833067,10.63.145.27,10.63.145.185,17,53,54127,342
257,4094,1759840433.833067,10.63.145.27,10.63.145.185,17,53,56204,198
258,4092,1759840433.820868,,,0,60406,443,74
259,4090,1759840433.788645,10.63.145.185,10.63.145.27,17,54127,53,86
260,4091,1759840433.788645,10.63.145.185,10.63.145.27,17,56204,53,86
261,4089,1759840433.784551,,,0,64574,443,74
262,4088,1759840433.784324,,,0,64574,443,98
263,4087,1759840433.774473,,,0,443,60406,214
264,4086,1759840428.357688,,,0,443,49171,88
265,4085,1759840428.239648,,,0,49171,443,91
266,4084,1759840428.040082,,,0,443,52502,76
267,4083,1759840427.425881,,,0,52502,443,103
268,4082,1759840427.42544,,,0,443,52502,99
269,4081,1759840426.229121,,,0,5353,5353,155
270,4080,1759840426.215848,10.63.145.27,224.0.0.251,17,5353,5353,135
271,4079,1759840425.027355,,,0,443,49171,88
272,4078,1759840424.969603,,,0,443,63552,74
273,4077,1759840424.927529,,,0,49171,443,91
274,4076,1759840424.661769,,,0,63552,443,103
275,4075,1759840424.660736,,,0,443,63552,99
276,4074,1759840424.094219,,,0,49761,443,74
277,4072,1759840424.04648,,,0,443,49761,76
278,4073,1759840424.04648,,,0,443,49761,343
279,4071,1759840423.318302,,,0,443,49171,88
280,4070,1759840423.285721,,,0,49761,443,2222
281,4069,1759840423.285389,,,0,49761,443,187
282,4068,1759840423.111534,,,0,49171,443,91
283,4067,1759840422.304756,,,0,443,49171,88
284,4066,1759840422.092797,,,0,49171,443,91
285,4065,1759840421.690019,,,0,443,49171,88
286,4064,1759840421.509625,,,0,49171,443,91
287,4063,1759840421.288068,,,0,443,49171,88
288,4062,1759840421.233436,,,0,443,49236,88
289,4061,1759840421.185678,,,0,49236,443,93
290,4060,1759840421.185366,,,0,49236,443,93
291,4056,1759840421.184556,,,0,443,49236,365
292,4057,1759840421.184556,,,0,443,49236,123
293,4058,1759840421.184556,,,0,443,49236,83
294,4059,1759840421.184556,,,0,443,49236,144
295,4055,1759840421.178566,,,0,49171,443,91
296,4054,1759840421.169527,,,0,49236,443,223
297,4053,1759840421.053868,,,0,49236,443,1292
298,4051,1759840421.05204,,,0,443,49236,1292
299,4052,1759840421.05204,,,0,443,49236,322
300,4050,1759840421.046347,,,0,443,49236,1292
301,4049,1759840421.042845,,,0,443,49236,102
302,4048,1759840420.98011,,,0,49236,443,1292
303,4047,1759840420.979781,,,0,49236,443,1292
304,4046,1759840420.973515,10.63.145.27,10.63.145.185,17,53,52186,254
305,4043,1759840420.973169,10.63.145.27,10.63.145.185,17,53,53091,333
306,4044,1759840420.973169,10.63.145.27,10.63.145.185,17,53,65137,337
307,4045,1759840420.973169,10.63.145.27,10.63.145.185,17,53,52186,254
308,4042,1759840420.972942,,,0,443,49171,87
309,4041,1759840420.85655,10.63.145.185,10.63.145.27,17,52186,53,72
310,4040,1759840420.855982,10.63.145.185,10.63.145.27,17,65137,53,72
311,4039,1759840420.85532,10.63.145.185,10.63.145.27,17,53091,53,72
312,4038,1759840420.747342,,,0,49171,443,91
313,4037,1759840420.579313,10.63.145.185,142.250.193.138,6,64526,443,54
314,4034,1759840420.534106,,,0,443,49171,87
315,4035,1759840420.534106,142.250.193.138,10.63.145.185,6,443,64526,176
316,4036,1759840420.534106,,,0,443,49761,76
317,4033,1759840420.358119,,,0,49171,443,91
318,4032,1759840420.199667,,,0,0,0,86
319,4031,1759840420.199564,,,0,0,0,86
320,4030,1759840420.156019,,,0,49761,443,109
321,4027,1759840420.153934,,,0,443,49761,76
322,4028,1759840420.153934,,,0,443,49171,87
323,4029,1759840420.153934,,,0,443,49761,180
324,4026,1759840419.977173,,,0,49171,443,91
325,4025,1759840419.792878,,,0,60406,443,74
326,4024,1759840419.769259,,,0,443,49171,87
327,4023,1759840419.76253,,,0,49761,443,2222
328,4022,1759840419.762441,,,0,49761,443,187
329,4021,1759840419.745219,,,0,443,60406,195
330,4020,1759840419.744057,,,0,443,49171,86
331,4019,1759840419.693435,,,0,49171,443,91
332,4018,1759840419.495575,,,0,49171,443,91
333,4017,1759840419.299063,,,0,49171,443,94
334,4016,1759840419.29332,,,0,443,49171,88
335,4015,1759840419.268945,,,0,443,49171,182
336,4014,1759840419.223425,,,0,49171,443,94
337,4013,1759840419.21562,,,0,443,49171,86
338,4012,1759840419.195243,,,0,49171,443,93
339,4011,1759840419.194991,,,0,49171,443,1292
340,4007,1759840419.193673,,,0,443,49171,1292
341,4008,1759840419.193673,,,0,443,49171,360
342,4009,1759840419.193673,,,0,443,49171,994
343,4010,1759840419.193673,,,0,443,49171,154
344,4005,1759840419.190993,,,0,443,49171,102
345,4006,1759840419.190993,,,0,443,49171,1292
346,4004,1759840419.088942,,,0,49171,443,141
347,4003,1759840419.088541,,,0,49171,443,1292
348,4002,1759840419.088419,,,0,49171,443,1292
349,4001,1759840419.027354,,,0,443,60434,135
350,4000,1759840417.587848,,,0,443,60434,87
351,3999,1759840417.558679,,,0,443,60434,86
352,3998,1759840417.502197,,,0,60434,443,91
353,3997,1759840417.106687,,,0,60434,443,91
354,3996,1759840416.415243,,,0,443,62576,76
355,3995,1759840416.40547,,,0,443,62576,76
356,3994,1759840416.371348,,,0,62576,443,109
357,3993,1759840416.371228,,,0,62576,443,109
358,3992,1759840416.365,,,0,443,62576,113
359,3991,1759840415.254236,,,0,51209,443,74
360,3990,1759840415.248909,,,0,443,59966,86
